run_id,group,level_id,seed,target_model_name,draft_model_name,spec_steps,kv_block_size,prefetch_depth,context_length,dtype,tokens_generated,time_sec,throughput_tps,acceptance_rate,mean_latency_ms,gpu_peak_mem_mb,n_rounds,status,error
default_canary_s42,canary,default_canary_s42,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,33,74.8035,0.44,0.2206,2266.773,24770.3,17,ok,
A1_tinyllama_1b_s42,A1,A1_tinyllama_1b,42,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,65536,bfloat16,256,305.9934,0.84,0.2257,1195.287,24626.1,134,ok,
A1_tinyllama_1b_s123,A1,A1_tinyllama_1b,123,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,65536,bfloat16,257,314.0125,0.82,0.2276,1221.838,24626.1,134,ok,
A1_tinyllama_1b_s456,A1,A1_tinyllama_1b,456,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,65536,bfloat16,258,302.7185,0.85,0.252,1173.327,24626.1,128,ok,
A1_sheared_1b_s42,A1,A1_sheared_1b,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,259,307.6251,0.84,0.2313,1187.742,25481.2,134,ok,
A1_sheared_1b_s123,A1,A1_sheared_1b,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,256,285.3776,0.9,0.2769,1114.756,25478.8,121,ok,
A1_sheared_1b_s456,A1,A1_sheared_1b,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,260,303.9913,0.86,0.2519,1169.197,25417.7,129,ok,
A2_k2_s42,A2,A2_k2,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,65536,bfloat16,256,302.6517,0.85,0.4173,1182.233,25476.5,139,ok,
A2_k2_s123,A2,A2_k2,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,65536,bfloat16,258,350.125,0.74,0.3031,1357.074,25476.4,160,ok,
A2_k2_s456,A2,A2_k2,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,65536,bfloat16,256,305.9131,0.84,0.4239,1194.973,25468.4,138,ok,
A2_k4_s42,A2,A2_k4,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,259,318.7836,0.81,0.2313,1230.825,25481.2,134,ok,
A2_k4_s123,A2,A2_k4,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,256,281.7855,0.91,0.2769,1100.725,25478.8,121,ok,
A2_k4_s456,A2,A2_k4,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,260,300.5418,0.87,0.2519,1155.93,25417.7,129,ok,
A2_k6_s42,A2,A2_k6,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,6,512,1,65536,bfloat16,258,294.7363,0.88,0.1933,1142.389,25468.3,119,ok,
