group,level_id,label,metric,n,mean,ci_lo,ci_hi,ci_half
A1,A1_tinyllama_1b,TinyLlama-1.1B,throughput_tps,3,0.8367,0.8200,0.8500,0.0150
A1,A1_sheared_1b,Sheared-1.3B,throughput_tps,3,0.8667,0.8400,0.9000,0.0300
A2,A2_k2,k=2,throughput_tps,3,0.8100,0.7400,0.8500,0.0550
A2,A2_k4,k=4,throughput_tps,3,0.8633,0.8100,0.9100,0.0500
A2,A2_k6,k=6,throughput_tps,3,0.8433,0.8000,0.8800,0.0400
A2,A2_k8,k=8,throughput_tps,3,0.8567,0.8000,0.8900,0.0450
A2,A2_k12,k=12,throughput_tps,3,0.8500,0.8200,0.8800,0.0300
A3,A3_block256,256,throughput_tps,3,0.6167,0.5800,0.6500,0.0350
A3,A3_block512,512,throughput_tps,3,0.8700,0.8100,0.9300,0.0600
A3,A3_block1024,1024,throughput_tps,3,1.1067,1.0600,1.1500,0.0450
A3,A3_block2048,2048,throughput_tps,3,1.2467,1.2000,1.3000,0.0500
A4,A4_sync,sync,throughput_tps,3,0.8767,0.8400,0.9000,0.0300
A4,A4_async1,async-1,throughput_tps,3,0.8700,0.8100,0.9200,0.0550
A4,A4_async2,async-2,throughput_tps,3,0.8633,0.8400,0.8900,0.0250
A5,A5_llama2_7b,Llama-2-7B,throughput_tps,3,0.8633,0.8300,0.9000,0.0350
A1,A1_tinyllama_1b,TinyLlama-1.1B,acceptance_rate,3,0.2351,0.2257,0.2520,0.0131
A1,A1_sheared_1b,Sheared-1.3B,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A2,A2_k2,k=2,acceptance_rate,3,0.3814,0.3031,0.4239,0.0604
A2,A2_k4,k=4,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A2,A2_k6,k=6,acceptance_rate,3,0.1757,0.1494,0.1933,0.0219
A2,A2_k8,k=8,acceptance_rate,3,0.1471,0.1240,0.1596,0.0178
A2,A2_k12,k=12,acceptance_rate,3,0.1111,0.1047,0.1190,0.0071
A3,A3_block256,256,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A3,A3_block512,512,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A3,A3_block1024,1024,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A3,A3_block2048,2048,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A4,A4_sync,sync,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A4,A4_async1,async-1,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A4,A4_async2,async-2,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A5,A5_llama2_7b,Llama-2-7B,acceptance_rate,3,0.2534,0.2313,0.2769,0.0228
A1,A1_tinyllama_1b,TinyLlama-1.1B,mean_latency_ms,3,1196.8173,1173.3270,1221.8380,24.2555
A1,A1_sheared_1b,Sheared-1.3B,mean_latency_ms,3,1157.2317,1114.7560,1187.7420,36.4930
A2,A2_k2,k=2,mean_latency_ms,3,1244.7600,1182.2330,1357.0740,87.4205
A2,A2_k4,k=4,mean_latency_ms,3,1162.4933,1100.7250,1230.8250,65.0500
A2,A2_k6,k=6,mean_latency_ms,3,1190.7340,1142.3890,1257.8490,57.7300
A2,A2_k8,k=8,mean_latency_ms,3,1168.9413,1126.7970,1248.5720,60.8875
A2,A2_k12,k=12,mean_latency_ms,3,1172.5640,1130.1780,1213.6210,41.7215
A3,A3_block256,256,mean_latency_ms,3,1620.8853,1541.6060,1709.7850,84.0895
A3,A3_block512,512,mean_latency_ms,3,1152.4253,1080.0200,1230.1620,75.0710
A3,A3_block1024,1024,mean_latency_ms,3,904.4380,871.6980,939.8830,34.0925
A3,A3_block2048,2048,mean_latency_ms,3,804.6337,771.0260,835.6320,32.3030
A4,A4_sync,sync,mean_latency_ms,3,1136.6253,1105.8750,1184.2970,39.2110
A4,A4_async1,async-1,mean_latency_ms,3,1148.4240,1081.5520,1228.9310,73.6895
A4,A4_async2,async-2,mean_latency_ms,3,1159.8070,1128.2840,1194.7830,33.2495
A5,A5_llama2_7b,Llama-2-7B,mean_latency_ms,3,1158.8480,1110.9310,1203.9810,46.5250
A1,A1_tinyllama_1b,TinyLlama-1.1B,gpu_peak_mem_mb,3,24626.1000,24626.1000,24626.1000,0.0000
A1,A1_sheared_1b,Sheared-1.3B,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
A2,A2_k2,k=2,gpu_peak_mem_mb,3,25473.7667,25468.4000,25476.5000,4.0500
A2,A2_k4,k=4,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
A2,A2_k6,k=6,gpu_peak_mem_mb,3,25472.5667,25468.3000,25479.2000,5.4500
A2,A2_k8,k=8,gpu_peak_mem_mb,3,25231.3667,24770.3000,25472.6000,351.1500
A2,A2_k12,k=12,gpu_peak_mem_mb,3,24770.3000,24770.3000,24770.3000,0.0000
A3,A3_block256,256,gpu_peak_mem_mb,3,25459.7667,25418.7000,25481.0000,31.1500
A3,A3_block512,512,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
A3,A3_block1024,1024,gpu_peak_mem_mb,3,25458.1667,25417.0000,25479.6000,31.3000
A3,A3_block2048,2048,gpu_peak_mem_mb,3,25458.5000,25417.4000,25479.8000,31.2000
A4,A4_sync,sync,gpu_peak_mem_mb,3,25452.3667,25410.7000,25474.0000,31.6500
A4,A4_async1,async-1,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
A4,A4_async2,async-2,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
A5,A5_llama2_7b,Llama-2-7B,gpu_peak_mem_mb,3,25459.2333,25417.7000,25481.2000,31.7500
