run_id,group,level_id,seed,target_model_name,draft_model_name,spec_steps,kv_block_size,prefetch_depth,context_length,dtype,tokens_generated,time_sec,throughput_tps,acceptance_rate,mean_latency_ms,ttft_ms,gpu_peak_mem_mb,n_rounds,status,error
matrix_canary_s42,canary,matrix_canary_s42,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,,bfloat16,17,49.4422,0.34,0.0833,2908.367,5194.368,9495.2,12,ok,
M4_ctx128k_s42,M4,M4_ctx128k,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,131072,bfloat16,20,72.9372,0.27,0.1154,3646.86,15553.737,10723.0,13,ok,
M4_ctx128k_s123,M4,M4_ctx128k,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,131072,bfloat16,27,100.0681,0.27,0.0921,3706.224,12413.36,10728.8,19,ok,
M4_ctx128k_s456,M4,M4_ctx128k,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,131072,bfloat16,16,62.7541,0.25,0.0625,3922.132,9595.674,10720.7,12,ok,
M4_ctx256k_s42,M4,M4_ctx256k,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,262144,bfloat16,64,267.8006,0.24,0.2132,4184.385,34021.838,14874.1,34,ok,
M4_ctx256k_s123,M4,M4_ctx256k,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,262144,bfloat16,66,269.1994,0.25,0.2143,4078.779,33366.971,14097.1,35,ok,
M4_ctx256k_s456,M4,M4_ctx256k,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,262144,bfloat16,64,283.1601,0.23,0.1757,4424.376,27116.505,14875.0,37,ok,
M4_ctx512k_s42,M4,M4_ctx512k,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,524288,bfloat16,65,731.3619,0.09,0.1944,11251.721,90821.61,22605.2,36,ok,
M4_ctx512k_s123,M4,M4_ctx512k,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,524288,bfloat16,66,672.5339,0.1,0.2279,10189.908,90656.965,22605.2,34,ok,
M4_ctx512k_s456,M4,M4_ctx512k,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,524288,bfloat16,64,902.5495,0.07,0.0924,14102.335,90801.535,22605.2,46,ok,
M4_ctx1M_s42,M4,M4_ctx1M,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,1048576,bfloat16,66,1487.5663,0.04,0.2014,22538.884,340198.835,40283.4,36,ok,
M4_ctx1M_s123,M4,M4_ctx1M,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,1048576,bfloat16,65,1448.7119,0.04,0.2071,22287.875,341653.285,40283.4,35,ok,
M4_ctx1M_s456,M4,M4_ctx1M,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,1048576,bfloat16,64,1620.7345,0.04,0.125,25323.977,340954.829,40283.4,42,ok,
