timestamp,seed,context_length,quantize_target,ppl,eval_time_sec,n_tokens,stride,model,rope_type
2026-05-10T23:34:11.364360+00:00,42,4096,True,11.7256,0.83,4096,2048,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:12.029948+00:00,42,8192,True,13.4285,0.66,8192,4096,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:13.493900+00:00,42,16384,True,86.0669,1.46,16384,8192,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:17.085651+00:00,42,32768,True,749.7963,3.59,32768,16384,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:17.411205+00:00,123,4096,True,10.8437,0.32,4096,2048,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:18.079727+00:00,123,8192,True,11.6546,0.67,8192,4096,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:19.549793+00:00,123,16384,True,82.8124,1.47,16384,8192,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:23.155123+00:00,123,32768,True,854.8492,3.60,32768,16384,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:23.480520+00:00,456,4096,True,13.8059,0.32,4096,2048,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:24.152394+00:00,456,8192,True,14.4077,0.67,8192,4096,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:25.626515+00:00,456,16384,True,84.7897,1.47,16384,8192,meta-llama/Llama-2-7b-hf,yarn
2026-05-10T23:34:29.239562+00:00,456,32768,True,838.5704,3.61,32768,16384,meta-llama/Llama-2-7b-hf,yarn
